ברקוד,מותג,יצרן,שם מוצר,מועד עדכון ברקודים,סטאטוס סימון
3385898,פרי גליל,פרי הגליל-1,רסק פלפל חריף א -2פג,ברקודים חדשים,מסמן על רב המוצרים
3385973,פרי גליל,פרי הגליל-1,תפוחון פרוס 800,ברקודים חדשים,מסמן על רב המוצרים
3648184,סלטי שמיר,סלטי שמיר,סלמון מעושן 100גרם,ברקודים חדשים,
3648207,סלטי שמיר,סלטי שמיר,"מטיאס הולנדי 2.5ק""ג שקיל",ברקודים חדשים,
3648214,סלטי שמיר,סלטי שמיר,"הרינג כבוש עם בצל שקיל 2.5ק""ג",ברקודים חדשים,
3648221,סלטי שמיר,סלטי שמיר,"מקרל פרוס בשמן 2.5ק""ג שקיל",ברקודים חדשים,
3648269,סלטי שמיר,סלטי שמיר,"מעדן מטיאס הולנדי שקיל 2.5ק""ג",ברקודים חדשים,
3648290,סלטי שמיר,סלטי שמיר,"סלמונז 3ק""ג",ברקודים חדשים,
3648306,סלטי שמיר,סלטי שמיר,"מקרל מעושן ( 7) 1ק""ג",ברקודים חדשים,
3648368,סלטי שמיר,סלטי שמיר,"מקרוסקה מפולפלת 1ק""ג",ברקודים חדשים,
3648429,סלטי שמיר,סלטי שמיר,"מרינת חמוץ מתוק 2.5ק""ג שקיל",ברקודים חדשים,
3648498,סלטי שמיר,סלטי שמיר,"בוניטו 1ק""ג",ברקודים חדשים,
3648535,סלטי שמיר,סלטי שמיר,"שפורטים 1ק""ג",ברקודים חדשים,
3648580,סלטי שמיר,סלטי שמיר,"נילוס פרוס מעדנייה ( 1ק""ג)",ברקודים חדשים,
3648658,סלטי שמיר,סלטי שמיר,"סלמון אפוי בואקום 1ק""ג",ברקודים חדשים,
3648931,סלטי שמיר,סלטי שמיר,"סלט מטיונז 2.5 \1.5ק""ג שקיל",ברקודים חדשים,
5068058,פרי גליל,פרי הגליל-1,תירס קל א -2פג,ברקודים חדשים,מסמן על רב המוצרים
5068058,פרי גליל,פרי הגליל-1,תירס קל א- 2פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
5068447,פרי גליל,פרי הגליל-1,תירס קל 12אונק פג,ברקודים חדשים,מסמן על רב המוצרים
5068447,פרי גליל,פרי הגליל-1,תירס קל 12אונק פג- רבנות,ברקודים חדשים,מסמן על רב המוצרים
5068492,פרי גליל,פרי הגליל-1,לקט ירק מעורב 700( 20יח'),ברקודים חדשים,מסמן על רב המוצרים
5068553,פרי גליל,פרי הגליל-1,לקט בורגונדי 700,ברקודים חדשים,מסמן על רב המוצרים
5068621,פרי גליל,פרי הגליל-1,ברוקולי 800פג רבנות,ברקודים חדשים,מסמן על רב המוצרים
5423543,סנו,סנו,משחת שיניים אורביטול להלבנה 145 גר',ברקודים חדשים,
5423871,סנו,סנו,משחת שיניים אורביטול 145 גר' - מארז 3 יח',ברקודים חדשים,
5423888,סנו,סנו,"כיף אלסבון 500 מ""ל - שלישייה במארז.",ברקודים חדשים,
5425646,סנו,סנו,סנוקליר 1 ליטר,ברקודים חדשים,
5425998,סנו,סנו,בייבי כיף אל סבון/ תחליב לתינוקות 1 ליטר,ברקודים חדשים,
5426940,סנו,סנו,סנו k 300 + 8,ברקודים חדשים,
5427558,סנו,סנו,"כיף תחליב רחצה 750 מ""ל",ברקודים חדשים,
